province,status,bulletin_date,source_url
National Capital District,critical,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Central,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Chimbu,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Eastern Highlands,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Enga,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Hela,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Manus,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Southern Highlands,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Western Highlands,alert,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
East Sepik,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Gulf,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Jiwaka,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Madang,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Morobe,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Oro,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
West New Britain,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
Western,watch,2026-06,https://www.nari.gov.pg/wp-content/uploads/2026/06/Drought-Update__June_2026.pdf
